name,id,movieNumber
Afghanistan,AFG,16496.96855
Albania,ALB,17003.419600000005
Algeria,DZA,9958.835199999998
Angola,AGO,18430.09065
Argentina,ARG,14179.669650000002
Armenia,ARM,9114.21315
Aruba,ABW,6829.543750000002
Australia,AUS,12923.74265
Austria,AUT,14244.515599999999
Azerbaijan,AZE,17297.420399999995
Bahamas,BHS,3522.24985
Bahrain,BHR,12502.349999999999
Bangladesh,BGD,18896.653350000004
Barbados,BRB,31802.799999999996
Belarus,BLR,9856.868400000001
Belgium,BEL,14050.568749999999
Benin,BEN,17820.04145
Bermuda,BMU,11349.049999999997
Bhutan,BTN,17895.549999999996
Bolivia,BOL,14309.558949999999
Bosnia and Herzegovina,BIH,12561.979549999998
Botswana,BWA,19450.85
Brazil,BRA,12802.39375
Brunei Darussalam,BRN,9755.6
Bulgaria,BGR,14179.669650000002
Burkina Faso,BFA,15652.341949999998
Cambodia,KHM,17744.745600000002
Cameroon,CMR,14770.4148
Canada,CAN,13604.889600000002
Cape Verde,CPV,8318.75
Chad,TCD,13292.385349999999
Chile,CHL,14571.712349999998
China,CHN,11744.25565
Colombia,COL,13416.806250000001
Congo (Brazzaville),COG,3446.049999999999
"Congo, (Kinshasa)",COD,17150.0
Costa Rica,CRI,14309.558949999999
Croatia,HRV,15309.101200000001
Cuba,CUB,16712.769200000002
Cyprus,CYP,16283.033599999999
Czech Republic,CZE,14770.4148
C̫te d'Ivoire,CIV,17594.7908
Denmark,DNK,13794.722549999997
Dominican Republic,DOM,16070.956249999997
Ecuador,ECU,13542.001149999998
Egypt,EGY,9856.868400000001
El Salvador,SLV,14903.881599999997
Estonia,EST,14903.881599999997
Ethiopia,ETH,20097.3636
Finland,FIN,13542.001149999998
France,FRA,12742.0052
Gabon,GAB,15038.150000000001
Georgia,GEO,17669.662150000004
Germany,DEU,12742.0052
Ghana,GHA,17895.549999999996
Gibraltar ,GIB,3446.049999999999
Greece,GRC,12802.39375
Greenland,GRL,14571.712349999998
Guatemala,GTM,13354.499200000004
Guinea-Bissau,GNB,16425.450000000004
Haiti,HTI,17744.745600000002
Honduras,HND,18662.4
"Hong Kong, SAR China",HKG,10962.811350000002
Hungary,HUN,13922.253850000001
Iceland,ISL,16212.13515
India,IND,13168.736050000001
Indonesia,IDN,11182.427150000001
"Iran, Islamic Republic of",IRN,13667.972450000001
Iraq,IRQ,15860.728400000002
Ireland,IRL,13045.855949999997
Israel,ISR,15105.58555
Italy,ITA,12442.909450000001
Jamaica,JAM,14903.881599999997
Japan,JPN,14179.669650000002
Jordan,JOR,19212.02915
Kazakhstan,KAZ,15309.101200000001
Kenya,KEN,20261.2
Korea (North),PRK,11517.31985
Korea (South),KOR,12561.979549999998
Kuwait,KWT,15377.34375
Kyrgyzstan,KGZ,16640.627849999997
Lao PDR,LAO,8687.055600000002
Latvia,LVA,14970.915450000004
Lebanon,LBN,15445.7888
Libya,LBY,32360.731250000004
Liechtenstein,LIE,11293.326449999999
Lithuania,LTU,14903.881599999997
Luxembourg,LUX,13354.499200000004
"Macedonia, Republic of",MKD,19371.02445
Malaysia,MYS,11916.400000000001
Maldives,MDV,26572.049999999996
Mali,MLI,15309.101200000001
Malta,MLT,8687.055600000002
Mauritania,MRT,19450.85
Mexico,MEX,13230.464399999999
Moldova,MDA,18662.4
Monaco,MCO,13107.200000000003
Mongolia,MNG,18740.26805
Montenegro,MNE,17520.13125
Morocco,MAR,15652.341949999998
Mozambique,MOZ,15930.59935
Myanmar,MMR,12090.218350000003
Namibia,NAM,9259.650000000001
Nepal,NPL,19450.85
Netherlands,NLD,13542.001149999998
Netherlands Antilles,ANT,41529.200000000004
New Zealand,NZL,14374.8
Nicaragua,NIC,14374.8
Niger,NER,15309.101200000001
Nigeria,NGA,13292.385349999999
Norway,NOR,14244.515599999999
Oman,OMN,36450.0
Pakistan,PAK,10061.5028
Palestinian Territory,PSE,16930.443649999997
Panama,PAN,16640.627849999997
Papua New Guinea,PNG,16425.450000000004
Paraguay,PRY,14440.239050000002
Peru,PER,13794.722549999997
Philippines,PHL,12923.74265
Poland,POL,14440.239050000002
Portugal,PRT,13230.464399999999
Puerto Rico,PRI,14115.020799999997
Qatar,QAT,22122.5364
Romania,ROU,14440.239050000002
Russian Federation,RUS,12802.39375
Rwanda,RWA,18430.09065
San Marino,SMR,18975.171200000004
Saudi Arabia,SAU,8780.799999999997
Senegal,SEN,17594.7908
Serbia,SRB,14837.048149999999
Sierra Leone,SLE,25600.0
Singapore,SGP,12383.6576
Slovakia,SVK,16354.138449999997
Slovenia,SVN,15377.34375
South Africa,ZAF,12090.218350000003
Spain,ESP,12561.979549999998
Sri Lanka,LKA,18896.653350000004
Suriname,SUR,16785.11875
Swaziland,SWZ,36450.0
Sweden,SWE,13604.889600000002
Switzerland,CHE,14309.558949999999
Syrian Arab Republic (Syria),SYR,14244.515599999999
"Taiwan, Republic of China",TWN,11916.400000000001
Tajikistan,TJK,18276.29375
"Tanzania, United Republic of",TZA,19853.26875
Thailand,THA,11974.153049999999
Tonga,TON,11072.25625
Trinidad and Tobago,TTO,13922.253850000001
Tunisia,TUN,16640.627849999997
Turkey,TUR,13107.200000000003
Turkmenistan,TKM,17150.0
Uganda,UGA,21948.799999999996
Ukraine,UKR,15860.728400000002
United Arab Emirates,ARE,13107.200000000003
United Kingdom,GBR,12265.718799999999
United States of America,USA,11801.451599999999
Uruguay,URY,15791.062049999997
Uzbekistan,UZB,20758.0468
Venezuela (Bolivarian Republic),VEN,13479.3068
Viet Nam,VNM,13986.3132
"Virgin Islands, US",VIR,19450.85
Yemen,YEM,10800.0
Zimbabwe,ZWE,14571.712349999998
